region_id,city,lat_center,lon_center,dlat,dlon,cell_area_m2,center_on_land,land_area_m2,land_fraction
HK_22.45000_114.10000,HK,22.45,114.1,0.1,0.09999999999999432,134081963.03872588,True,134081963.03872588,1.0
HK_22.35000_114.20000,HK,22.35,114.2,0.1,0.09999999999999432,133985542.71996376,True,132124053.82293254,0.9861067928730055
HK_22.45000_114.20000,HK,22.45,114.2,0.1,0.09999999999999432,134081963.03868102,True,125725832.27838425,0.9376789348028406
HK_22.45000_114.30000,HK,22.45,114.3,0.1,0.09999999999999432,134081963.03870346,True,115866775.34461035,0.864148858792922
HK_22.35000_114.30000,HK,22.35,114.3,0.1,0.09999999999999432,133985542.71998617,True,110246642.26482403,0.8228249110072001
HK_22.35000_114.10000,HK,22.35,114.1,0.1,0.09999999999999432,133985542.7200086,True,102664776.53167276,0.7662377182455627
HK_22.35000_114.00000,HK,22.35,114.0,0.1,0.09999999999999432,133985542.71998617,False,96128377.64419992,0.717453358718685
HK_22.55000_114.20000,HK,22.55,114.2,0.1,0.09999999999999432,134178931.25860901,True,77564061.4215589,0.5780643853248931
HK_22.55000_114.30000,HK,22.55,114.3,0.1,0.09999999999999432,134178931.25863145,True,53777046.63223874,0.4007860707176364
HK_22.55000_114.10000,HK,22.55,114.1,0.1,0.09999999999999432,134178931.25865391,False,48376240.93947921,0.36053529779742655
HK_22.45000_113.90000,HK,22.45,113.9,0.1,0.09999999999999432,134081963.03872588,False,20316617.86570434,0.15152386946957544
