rank,feature,importance,setting_run,scenario,level,mode,source,family_label,target
1,t2m_mean,3.745335958587089,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,t2m_mean
2,doy_cos,0.9833728813548482,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,t2m_mean
3,v10_mean,0.3434608082851359,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,t2m_mean
4,doy_sin,0.1599769636062025,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,t2m_mean
5,tp_sum_mm,0.08635133463645528,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,t2m_mean
6,rh2m_mean,0.056313904167782834,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,t2m_mean
7,sp_mean,0.048361552678762944,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,t2m_mean
8,u10_mean,0.04366452802496736,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,t2m_mean
9,ssrd_mj_m2,0.028006108373453388,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,t2m_mean
10,year,0.0017117359247964092,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,t2m_mean
1,rh2m_mean,5.790541786257245,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,rh2m_mean
2,v10_mean,0.8573356170069317,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,rh2m_mean
3,u10_mean,0.6198005955375908,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,rh2m_mean
4,sp_mean,0.3066947350660845,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,rh2m_mean
5,doy_cos,0.2939527306009165,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,rh2m_mean
6,ssrd_mj_m2,0.21443160301715042,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,rh2m_mean
7,tp_sum_mm,0.15683245014900163,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,rh2m_mean
8,t2m_mean,0.12463156059905316,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,rh2m_mean
9,doy_sin,0.04002345743844984,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,rh2m_mean
10,year,-0.0024444715268284512,HK_L1_single_lstm,HK_ONLY,1,single,lstm,LSTM,rh2m_mean
1,v10_mean,67.19733445661844,HK_L1_multi_flat,HK_ONLY,1,multi,flat,MLP,tp_sum_mm
2,t2m_mean,26.659600308503446,HK_L1_multi_flat,HK_ONLY,1,multi,flat,MLP,tp_sum_mm
3,tp_sum_mm,22.431513665572584,HK_L1_multi_flat,HK_ONLY,1,multi,flat,MLP,tp_sum_mm
4,doy_cos,9.068098620504912,HK_L1_multi_flat,HK_ONLY,1,multi,flat,MLP,tp_sum_mm
5,sp_mean,6.550505410065654,HK_L1_multi_flat,HK_ONLY,1,multi,flat,MLP,tp_sum_mm
6,rh2m_mean,6.359606906914988,HK_L1_multi_flat,HK_ONLY,1,multi,flat,MLP,tp_sum_mm
7,ssrd_mj_m2,4.534534760408465,HK_L1_multi_flat,HK_ONLY,1,multi,flat,MLP,tp_sum_mm
8,u10_mean,3.242989516575301,HK_L1_multi_flat,HK_ONLY,1,multi,flat,MLP,tp_sum_mm
9,doy_sin,1.811232129215432,HK_L1_multi_flat,HK_ONLY,1,multi,flat,MLP,tp_sum_mm
10,year,0.03367620550713184,HK_L1_multi_flat,HK_ONLY,1,multi,flat,MLP,tp_sum_mm
